Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Paul George,LAC,31,17,9,8,694,449,144,339,42.5,47,140,33.6,114,137,83.2,16,145,161,94,57,16,10,56,804.2,9,0,84
2,Trae Young,ATL,22,15,9,6,568,447,146,342,42.7,45,138,32.6,110,127,86.6,7,34,41,143,59,19,0,33,708.7,8,0,-2
3,Kevin Durant,BKN,32,12,7,5,485,411,145,282,51.4,33,82,40.2,88,101,87.1,5,106,111,53,42,18,19,31,692.7,6,1,34
4,Giannis Antetokounmpo,MIL,26,14,10,4,536,409,167,306,54.6,10,54,18.5,65,118,55.1,34,148,182,75,48,14,13,41,772.9,13,1,111
5,Devin Booker,PHX,24,14,11,3,562,379,128,283,45.2,28,83,33.7,95,103,92.2,9,83,92,69,56,10,1,49,569.9,4,1,87
6,Kawhi Leonard,LAC,29,11,6,5,432,334,122,213,57.3,24,61,39.3,66,75,88,22,63,85,48,24,23,9,29,580,4,0,28
7,Khris Middleton,MIL,29,14,10,4,545,324,116,268,43.3,38,107,35.5,54,62,87.1,16,95,111,66,43,19,3,36,579.2,6,0,118
8,Donovan Mitchell,UTA,24,10,6,4,346,323,105,235,44.7,50,115,43.5,63,76,82.9,3,39,42,55,28,11,2,20,466.9,1,0,19
9,Joel Embiid,PHI,27,11,6,5,357,309,101,197,51.3,16,41,39,91,109,83.5,16,100,116,37,42,11,16,33,542.7,5,0,121
10,Reggie Jackson,LAC,31,17,9,8,547,302,110,226,48.7,52,128,40.6,30,34,88.2,6,45,51,54,27,16,2,43,471.2,1,0,104
11,Nikola Jokic,DEN,26,10,4,6,345,298,116,228,50.9,20,53,37.7,46,55,83.6,37,79,116,50,24,6,9,23,533.2,6,1,-59
12,Tobias Harris,PHI,28,12,7,5,438,261,105,215,48.8,16,43,37.2,35,40,87.5,10,92,102,42,18,12,5,29,479.4,4,0,53
13,Luka Doncic,DAL,22,7,3,4,281,250,96,196,49,31,76,40.8,27,51,52.9,4,51,55,72,32,9,3,17,428,4,1,7
14,Deandre Ayton,PHX,22,14,11,3,499,233,107,151,70.9,0,0,0,19,29,65.5,46,114,160,12,16,8,12,36,487,9,0,76
15,Jrue Holiday,MIL,31,14,10,4,539,228,93,221,42.1,23,80,28.8,19,30,63.3,20,55,75,112,31,20,4,29,527,4,0,120
16,Seth Curry,PHI,30,12,7,5,381,226,85,147,57.8,41,81,50.6,15,19,78.9,4,24,28,28,10,9,3,33,327.6,0,0,119
17,John Collins,ATL,23,15,9,6,481,214,85,149,57,17,47,36.2,27,33,81.8,32,99,131,11,20,6,9,51,412.7,4,0,5
18,Damian Lillard,POR,30,6,2,4,248,206,62,134,46.3,35,78,44.9,47,50,94,1,25,26,61,13,6,4,9,345.7,5,0,27
19,Kyrie Irving,BKN,29,9,6,3,325,204,77,163,47.2,24,65,36.9,26,28,92.9,12,40,52,31,11,9,5,19,343.9,1,0,103
20,Bojan Bogdanovic,UTA,32,11,6,5,390,199,64,137,46.7,35,76,46.1,36,41,87.8,6,41,47,16,23,10,0,27,286.4,0,0,10
21,Jordan Clarkson,UTA,29,11,6,5,298,193,67,165,40.6,34,97,35.1,25,26,96.2,6,28,34,17,23,7,3,15,266.3,0,0,-51
22,Chris Paul,PHX,36,12,9,3,389,190,70,157,44.6,10,28,35.7,40,44,90.9,4,43,47,106,20,16,2,25,439.4,3,0,66
23,Danilo Gallinari,ATL,32,15,9,6,377,189,61,142,43,27,69,39.1,40,43,93,6,51,57,13,12,6,3,39,291.9,0,0,-20
24,Bogdan Bogdanovic,ATL,28,15,9,6,489,185,73,196,37.2,32,108,29.6,7,11,63.6,9,56,65,40,22,22,5,40,382,0,0,29
25,Marcus Morris Sr.,LAC,31,17,9,8,523,184,68,167,40.7,30,80,37.5,18,24,75,13,56,69,25,6,9,9,44,352.3,0,0,-17
26,James Harden,BKN,31,9,6,3,322,182,51,108,47.2,24,66,36.4,56,62,90.3,7,50,57,77,26,15,6,23,402.9,3,1,55
27,Brook Lopez,MIL,33,14,10,4,415,176,69,126,54.8,16,45,35.6,22,24,91.7,30,55,85,5,14,10,22,27,367.5,0,0,47
28,Michael Porter Jr.,DEN,22,10,4,6,332,174,64,135,47.4,29,73,39.7,17,21,81,12,50,62,13,16,11,3,31,293.9,1,0,-32
29,Kevin Huerter,ATL,22,15,9,6,455,171,65,143,45.5,29,75,38.7,12,17,70.6,7,50,57,33,16,7,15,42,338.9,1,0,-33
30,Rudy Gobert,UTA,29,11,6,5,376,162,60,81,74.1,0,1,0,42,66,63.6,43,92,135,9,17,6,23,46,407.5,9,0,33
31,Mikal Bridges,PHX,24,14,11,3,463,158,60,130,46.2,25,71,35.2,13,15,86.7,16,49,65,24,8,16,12,25,348,0,0,68
32,Jayson Tatum,BOS,23,5,1,4,185,153,47,111,42.3,14,36,38.9,45,49,91.8,3,26,29,23,13,6,8,15,251.3,0,0,-58
33,Ja Morant,MEM,21,5,1,4,203,151,55,113,48.7,10,31,32.3,31,40,77.5,7,17,24,41,17,2,0,9,230.3,2,0,-50
34,Bradley Beal,WAS,28,5,1,4,195,150,56,123,45.5,7,32,21.9,31,36,86.1,6,25,31,21,20,4,3,6,219.7,1,0,-61
35,Cameron Payne,PHX,26,14,11,3,295,149,58,137,42.3,18,51,35.3,15,16,93.8,4,30,34,51,17,13,11,30,321.3,0,0,52
36,Clint Capela,ATL,27,15,9,6,491,146,67,113,59.3,0,0,0,12,31,38.7,48,129,177,14,14,10,16,41,443.4,7,0,0
37,Jae Crowder,PHX,30,14,11,3,446,144,47,116,40.5,33,90,36.7,17,19,89.5,6,68,74,24,11,9,12,40,320.8,0,0,97
38,Ben Simmons,PHI,24,12,7,5,402,143,59,95,62.1,0,1,0,25,73,34.2,25,70,95,106,27,15,10,39,464,5,1,113
39,Nicolas Batum,LAC,32,17,9,8,505,142,49,101,48.5,27,68,39.7,17,21,81,18,75,93,35,6,24,10,25,402.1,0,0,122
40,LeBron James,LAL,36,6,2,4,224,140,54,114,47.4,18,48,37.5,14,23,60.9,7,36,43,48,25,9,2,7,271.6,2,0,10
41,Monte Morris,DEN,26,10,4,6,286,137,50,116,43.1,16,40,40,21,29,72.4,7,17,24,55,7,10,2,12,277.3,0,0,-33
42,Terance Mann,LAC,24,17,9,8,322,135,50,89,56.2,16,32,50,19,26,73.1,15,32,47,12,3,9,5,38,248.4,0,0,119
43,Joe Harris,BKN,29,12,7,5,434,134,49,123,39.8,33,82,40.2,3,4,75,5,38,43,19,9,4,2,34,223.1,0,0,50
44,Dillon Brooks,MEM,25,5,1,4,175,129,50,97,51.5,8,20,40,21,26,80.8,5,16,21,11,9,7,2,17,188.7,0,0,-6
45,CJ McCollum,POR,29,6,2,4,240,124,50,114,43.9,14,42,33.3,10,13,76.9,6,30,36,26,12,2,4,25,212.2,0,0,-7
45,Royce O'Neale,UTA,28,11,6,5,404,124,43,85,50.6,28,60,46.7,10,12,83.3,16,64,80,23,8,12,3,41,291.5,1,0,-6
47,Tim Hardaway Jr.,DAL,29,7,3,4,262,119,42,101,41.6,23,57,40.4,12,16,75,5,18,23,10,6,3,0,17,164.6,0,0,-2
48,Joe Ingles,UTA,33,11,6,5,306,112,39,79,49.4,24,58,41.4,10,13,76.9,1,33,34,38,9,7,0,19,221.8,0,0,-2
49,Aaron Gordon,DEN,25,10,4,6,299,111,43,99,43.4,9,23,39.1,16,25,64,21,33,54,20,14,5,3,23,215.8,1,0,-51
50,Blake Griffin,BKN,32,12,7,5,318,108,42,79,53.2,14,36,38.9,10,14,71.4,15,56,71,21,5,10,6,40,267.7,2,0,33
50,Bryn Forbes,MIL,27,14,10,4,213,108,38,88,43.2,26,68,38.2,6,8,75,2,20,22,4,6,1,2,12,143.4,0,0,23
52,Cameron Johnson,PHX,25,14,11,3,284,107,33,69,47.8,20,48,41.7,21,24,87.5,11,32,43,11,8,13,1,12,209.1,0,0,27
52,Ivica Zubac,LAC,24,17,9,8,301,107,34,57,59.6,0,0,0,39,49,79.6,43,56,99,7,16,2,12,33,262.3,3,0,-16
54,Norman Powell,POR,28,6,2,4,216,102,38,76,50,10,26,38.5,16,18,88.9,3,10,13,12,7,5,6,17,161.6,0,0,8
55,Derrick Rose,NYK,32,5,1,4,175,97,40,84,47.6,8,17,47.1,9,9,100,4,16,20,25,8,2,1,5,159.5,0,0,-34
55,Lou Williams,ATL,34,15,9,6,195,97,35,83,42.2,10,22,45.5,17,17,100,1,17,18,25,14,10,1,13,175.1,0,0,-13
57,Bruce Brown,BKN,24,12,7,5,277,95,40,79,50.6,2,11,18.2,13,16,81.3,23,38,61,25,11,8,5,31,233.7,1,0,12
57,Russell Westbrook,WAS,32,5,1,4,186,95,28,84,33.3,5,20,25,34,43,79.1,14,38,52,59,21,2,1,17,233.9,5,2,-60
59,Facundo Campazzo,DEN,30,10,4,6,270,93,29,74,39.2,19,48,39.6,16,19,84.2,7,23,30,41,15,14,4,35,229.5,0,0,-47
60,Austin Rivers,DEN,28,10,4,6,305,92,30,69,43.5,19,46,41.3,13,16,81.3,1,16,17,21,9,2,3,32,149.9,0,0,-74
60,Kristaps Porzingis,DAL,25,7,3,4,233,92,34,72,47.2,8,27,29.6,16,19,84.2,7,31,38,9,3,9,5,19,190.1,1,0,-8
60,Mike Conley,UTA,33,6,4,2,176,92,29,68,42.6,18,37,48.6,16,16,100,3,18,21,46,14,1,3,15,184.2,2,0,43
63,Julius Randle,NYK,26,5,1,4,180,90,28,94,29.8,11,33,33.3,23,27,85.2,11,47,58,20,23,3,0,18,175.6,5,0,-42
64,Bobby Portis,MIL,26,11,8,3,178,89,38,74,51.4,9,25,36,4,8,50,14,38,52,6,6,7,5,15,190.4,0,0,22
64,Marcus Smart,BOS,27,5,1,4,183,89,29,66,43.9,16,43,37.2,15,21,71.4,4,18,22,30,14,5,1,14,164.4,0,0,-46
66,Anthony Davis,LAL,28,5,2,3,144,87,25,62,40.3,2,11,18.2,35,42,83.3,7,26,33,13,6,3,8,9,173.1,2,0,-16
67,Dennis Schroder,LAL,27,6,2,4,196,86,28,70,40,8,26,30.8,22,26,84.6,1,17,18,17,10,6,1,13,144.1,0,0,-20
68,Furkan Korkmaz,PHI,23,12,7,5,195,84,30,73,41.1,14,44,31.8,10,14,71.4,4,20,24,7,5,7,3,9,148.3,0,0,39
69,Luke Kennard,LAC,25,13,8,5,186,81,30,58,51.7,20,45,44.4,1,2,50,5,8,13,6,1,1,0,13,107.6,0,0,31
70,Jusuf Nurkic,POR,26,6,2,4,173,79,30,55,54.5,1,5,20,18,25,72,18,44,62,16,14,3,7,30,193.4,3,0,45
71,Pat Connaughton,MIL,28,14,10,4,288,78,27,61,44.3,18,49,36.7,6,6,100,16,39,55,11,7,6,5,16,186.5,0,0,58
72,Evan Fournier,BOS,28,5,1,4,167,77,27,63,42.9,13,30,43.3,10,12,83.3,5,13,18,7,5,6,0,20,122.1,0,0,-46
73,Tyrese Maxey,PHI,20,12,7,5,156,76,29,66,43.9,4,12,33.3,14,22,63.6,1,21,22,16,5,3,6,16,148.4,0,0,11
74,Jonas Valanciunas,MEM,29,5,1,4,166,75,33,58,56.9,2,8,25,7,8,87.5,20,29,49,13,10,3,3,18,161.3,3,0,-29
75,Carmelo Anthony,POR,37,6,2,4,143,74,25,60,41.7,14,37,37.8,10,11,90.9,2,17,19,9,7,2,1,15,112.3,0,0,-48
75,Rui Hachimura,WAS,23,5,1,4,173,74,29,47,61.7,9,15,60,7,12,58.3,5,31,36,5,5,2,1,18,128.7,1,0,-57
77,Dorian Finney-Smith,DAL,28,7,3,4,271,72,26,64,40.6,16,37,43.2,4,5,80,17,29,46,15,12,8,2,23,167.7,1,0,26
77,RJ Barrett,NYK,21,5,1,4,162,72,26,67,38.8,8,28,28.6,12,15,80,4,32,36,15,2,4,2,11,153.7,1,0,-37
79,Alec Burks,NYK,29,5,1,4,128,70,24,56,42.9,8,24,33.3,14,19,73.7,5,20,25,13,4,1,0,11,118.5,0,0,9
80,Jaren Jackson Jr.,MEM,21,5,1,4,137,68,23,54,42.6,8,28,28.6,14,16,87.5,9,19,28,5,4,5,6,21,138.1,0,0,-38
81,Patrick Beverley,LAC,32,15,7,8,261,65,22,55,40,11,31,35.5,10,12,83.3,11,24,35,20,3,10,10,29,194,0,0,12
82,Goran Dragic,MIA,35,4,0,4,117,64,23,54,42.6,9,26,34.6,9,12,75,1,6,7,11,6,4,2,11,100.9,0,0,-34
83,Matisse Thybulle,PHI,24,12,7,5,220,63,25,52,48.1,11,34,32.4,2,5,40,4,13,17,3,2,16,11,29,166.9,0,0,-43
84,Bam Adebayo,MIA,23,4,0,4,136,62,26,57,45.6,0,0,0,10,13,76.9,14,23,37,17,11,5,2,11,141.9,1,0,-47
84,Torrey Craig,PHX,30,14,11,3,160,62,23,54,42.6,11,25,44,5,7,71.4,11,33,44,7,6,0,7,21,140.3,0,0,24
86,Daniel Gafford,WAS,22,5,1,4,117,59,22,26,84.6,0,0,0,15,24,62.5,14,15,29,3,3,5,10,17,140.3,0,0,7
87,Jimmy Butler,MIA,31,4,0,4,154,58,19,64,29.7,4,15,26.7,16,22,72.7,6,24,30,28,9,5,1,6,145,2,1,-86
87,Paul Millsap,DEN,36,9,4,5,109,58,22,50,44,6,23,26.1,8,13,61.5,9,26,35,15,8,3,6,14,141.5,0,0,-9
89,Danny Green,PHI,34,8,6,2,199,56,21,48,43.8,14,37,37.8,0,0,0,9,12,21,21,5,9,8,13,158.7,0,0,79
89,Dwight Howard,PHI,35,12,7,5,149,56,16,30,53.3,0,1,0,24,40,60,26,49,75,8,12,2,6,31,170,0,0,-34
89,George Hill,PHI,35,12,7,5,205,56,19,43,44.2,8,19,42.1,10,13,76.9,5,11,16,18,10,8,3,18,125.2,0,0,6
89,Jalen Brunson,DAL,24,7,3,4,114,56,20,44,45.5,6,13,46.2,10,13,76.9,6,12,18,10,4,0,0,6,88.6,0,0,-56
89,P.J. Tucker,MIL,36,14,10,4,396,56,21,56,37.5,11,36,30.6,3,4,75,30,37,67,15,5,14,3,49,204.9,0,0,98
89,Robert Covington,POR,30,6,2,4,228,56,18,36,50,11,22,50,9,10,90,9,38,47,7,8,9,6,20,159.9,2,0,28
95,Rajon Rondo,LAC,35,13,7,6,220,55,18,53,34,11,28,39.3,8,12,66.7,4,30,34,50,14,5,3,18,180.8,0,0,-27
96,Dario Saric,PHX,27,11,9,2,126,54,18,38,47.4,6,14,42.9,12,12,100,7,23,30,12,5,2,1,18,112,0,0,18
96,De'Andre Hunter,ATL,23,5,4,1,152,54,18,45,40,6,16,37.5,12,16,75,2,18,20,3,7,1,3,11,87.5,0,0,34
96,JaMychal Green,DEN,31,10,4,6,190,54,20,45,44.4,6,20,30,8,9,88.9,17,35,52,11,3,2,2,12,141.9,1,0,0
99,Shake Milton,PHI,24,12,7,5,121,52,15,47,31.9,8,19,42.1,14,15,93.3,0,9,9,9,11,3,1,18,77.3,0,0,-15
99,Tristan Thompson,BOS,30,5,1,4,132,52,20,34,58.8,0,0,0,12,17,70.6,29,20,49,5,5,4,6,12,143.3,2,0,-87
101,Landry Shamet,BKN,24,12,7,5,206,50,18,41,43.9,10,26,38.5,4,5,80,3,18,21,7,6,5,1,19,97.7,0,0,7
102,Jeff Green,BKN,34,6,3,3,148,49,16,33,48.5,10,18,55.6,7,8,87.5,4,13,17,10,3,3,2,14,96.4,0,0,16
102,Will Barton,DEN,30,3,0,3,83,49,19,43,44.2,7,21,33.3,4,4,100,1,12,13,8,4,2,1,4,81.6,0,0,0
104,Boban Marjanovic,DAL,32,4,1,3,83,47,20,39,51.3,0,0,0,7,9,77.8,14,18,32,4,4,0,1,13,90.4,1,0,-2
105,Andre Drummond,LAL,27,5,2,3,105,45,19,32,59.4,0,0,0,7,10,70,19,36,55,0,11,4,3,12,121,1,0,-4
106,Reggie Bullock,NYK,30,5,1,4,162,44,15,39,38.5,10,29,34.5,4,5,80,5,12,17,6,4,3,1,11,81.4,0,0,-35
107,Kyle Anderson,MEM,27,5,1,4,142,42,18,42,42.9,3,12,25,3,4,75,4,21,25,16,4,14,0,9,134,1,0,-19
107,Markus Howard,DEN,22,9,4,5,112,42,15,37,40.5,11,26,42.3,1,2,50,1,6,7,4,0,0,1,10,59.4,0,0,1
